=== IGA Flyer Fetch — 2026-04-23 ===
Run started : 2026-04-23 13:46:09 UTC

Loaded 271 stores from data/iga/stores.json

Stores loaded: 271
Loaded existing store_flyers.json (811 publication entries)

Phase 1: fetching publications per store…

  [8293] IGA Marché Famille Gadoua → ['7893759', '7887347']
  [8295] IGA Marché Girard St-Augustin inc. → ['7893757', '7887347']
  [8296] IGA Saint-Lin-Laurentides → ['7893757', '7887347']
  [8299] IGA Quebec Magasin CO-OP St-Anselme → ['7893753', '7887347']
  [8308] IGA des Sources Henri-Bourassa → ['7893757', '7887347']
  [8311] IGA  Canada inc. → ['7893757', '7887347']
  [8312] IGA Marché des Oiseaux inc. → ['7893771', '7887347']
  [8313] IGA Extra → ['7893761', '7887347']
  [8314] IGA AlimentationCoop Rimouski → ['7893765', '7887347']
  [8315] IGA Marché Gagnon → ['7893753', '7887347']
  [8316] IGA extra Vallée → ['7893759', '7887347']
  [8317] IGA Extra Alimentation St-Onge → ['7893757', '7887347']
  [8319] IGA Des Chenaux Famille Paquette → ['7893757', '7887347']
  [8322] IGA Mont-Laurier → ['7893761', '7887347']
  [8325] IGA Marché Veilleux inc. → ['7893757', '7887347']
  [8327] IGA Alimentation Sogesco inc. → ['7893757', '7887347']
  [8328] IGA - Quebec Inc. → ['7893771', '7887347']
  [8330] IGA La Cooperative de Buctouche → ['7893820', '7887351']
  [8331] IGA La Coop cons. de Dieppe ltee → ['7893820', '7887351']
  [8332] IGA La Cooperative de Shediac Ltee → ['7893820', '7887351']
  [8333] IGA Coop IGA Tracadie-Sheila → ['7893820', '7887351']
  [8335] IGA Marche d'Alimentation Proulx inc. → ['7893757', '7887347']
  [8340] IGA Marché IGA Shawinigan-Sud inc. → ['7893753', '7887347']
  [8341] IGA Les Marchés Lambert et frères inc. → ['7893759', '7887347']
  [8343] IGA Supermarche St-Hubert inc → ['7893753', '7887347']
  [8344] IGA Marche Masson-Angers inc. → ['7893757', '7887347']
  [8346] IGA Épicerie Quintal et Frères () inc. → ['7893769', '7887347']
  [8348] IGA Marché d’alimentation Deziel inc. → ['7893757', '7887347']
  [8349] IGA extra Marché Paquette → ['7893757', '7887347']
  [8350] IGA Cooperative des Cons. de Sainte-Foy → ['7893757', '7887347']
  [8352] IGA Famille Rick Déziel → ['7893757', '7887347']
  [8353] IGA Famille Rick Déziel → ['7893759', '7887347']
  [8357] IGA Farnham → ['7893757', '7887347']
  [8358] IGA Boucherie des Sources Ste-Catherine → ['7893757', '7887347']
  [8359] Sobeys Capital inc. (Campbellton) → ['7893753', '7887347']
  [8360] IGA → ['7893757', '7887347']
  [8363] IGA Alimentation Proulx Terrebonne Inc → ['7893757', '7887347']
  [8364] IGA Hochelaga → ['7893757', '7887347']
  [8365] IGA Mont-Joli → ['7893761', '7887347']
  [8366] IGA Mche d'Alimentation Champagne inc. → ['7893757', '7887347']
  [8367] IGA extra L'ile-Bizard Sevigny → ['7893757', '7887347']
  [8368] IGA Extra Gladu → ['7893759', '7887347']
  [8369] IGA Supermarché Jean XXIII → ['7893757', '7887347']
  [8370] IGA Marché Lamontagne et fille → ['7893753', '7887347']
  [8371] IGA Chelsea → ['7893757', '7887347']
  [8373] IGA Marché Montée Gagnon inc. → ['7893763', '7887347']
  [8374] IGA Marché St-Janvier → ['7893757', '7887347']
  [8375] IGA Sobeys Capital inc. → ['7893753', '7887347']
  [8376] IGA Alimentation  Patrice Tellier inc. → ['7893753', '7887347']
