=== IGA Flyer Fetch — 2026-05-21 ===
Run started : 2026-05-21 14:18:12 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (4026 publication entries)

Phase 1: fetching publications per store…

  [8350] IGA Cooperative des Cons. de Sainte-Foy → ['7936674', '7931805', '7911198']
  [8352] IGA Famille Rick Déziel → ['7936659', '7931805', '7911198']
  [8353] IGA Famille Rick Déziel → ['7936661', '7931805', '7911198']
  [8357] IGA Farnham → ['7936659', '7931805', '7911198']
  [8358] IGA Boucherie des Sources Ste-Catherine → ['7936659', '7931805', '7911198']
  [8359] Sobeys Capital inc. (Campbellton) → ['7936655', '7931805', '7911198']
  [8360] IGA → ['7936659', '7931805', '7911198']
  [8363] IGA Alimentation Proulx Terrebonne Inc → ['7936659', '7931805', '7911198']
  [8364] IGA Hochelaga → ['7936659', '7931805', '7911198']
  [8365] IGA Mont-Joli → ['7936655', '7931805', '7911198']
  [8366] IGA Mche d'Alimentation Champagne inc. → ['7936659', '7931805', '7911198']
  [8367] IGA extra L'ile-Bizard Sevigny → ['7936659', '7931805', '7911198']
  [8368] IGA Extra Gladu → ['7936661', '7931805', '7911198']
  [8369] IGA Supermarché Jean XXIII → ['7936659', '7931805', '7911198']
  [8370] IGA Marché Lamontagne et fille → ['7936670', '7931805', '7911198']
  [8371] IGA Chelsea → ['7936659', '7931805', '7911198']
  [8373] IGA Marché Montée Gagnon inc. → ['7936659', '7931805', '7911198']
  [8374] IGA Marché St-Janvier → ['7936659', '7931805', '7911198']
  [8375] IGA Sobeys Capital inc. → ['7936655', '7931805', '7911198']
  [8376] IGA Alimentation  Patrice Tellier inc. → ['7936655', '7931805', '7911198']
  [8377] IGA extra Famille Déziel Vaudreuil-Dorion → ['7936661', '7931805', '7911198']
  [8378] IGA Marche Famille Vincent inc. → ['7936661', '7931805', '7911198']
  [8379] IGA Lac St-Charles → ['7936659', '7931805', '7911198']
  [8380] IGA extra Marché Gagné et Fille → ['7936661', '7931805', '7911198']
  [8383] IGA Alimentation Beaubien et fille inc. → ['7936659', '7931805', '7911198']
  [8388] IGA Ferme Neuve → ['7936655', '7931805', '7911198']
  [8389] IGA Extra Saint-Léonard → ['7936676', '7931805', '7911198']
  [8390] IGA Deux-Montagnes → ['7936659', '7931805', '7911198']
  [8393] IGA Val-d'Or Centre-Ville → ['7936655', '7931805', '7911198']
  [8395] IGA EXTRA POINTE-CLAIRE → ['7936676', '7931805', '7911198']
  [8396] IGA EXTRA Famille Patry Bromont → ['7936659', '7931805', '7911198']
  [8397] IGA Extra → ['7936661', '7931805', '7911198']
  [8464] IGA St-Lambert-de-Lauzon → ['7936661', '7931805', '7911198']
  [8468] IGA extra Rockland → ['7936661', '7931805', '7911198']
