=== IGA Flyer Fetch — 2026-05-14 ===
Run started : 2026-05-14 13:46:34 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (2956 publication entries)

Phase 1: fetching publications per store…

  [8210] IGA Marché Louise Ménard inc. → ['7926562', '7921346', '7921464', '7911193']
  [8212] IGA Marché Gazaille → ['7926564', '7921346', '7921464', '7911193']
  [8213] IGA Marché de L’île-des Sœurs → ['7926562', '7921346', '7921464', '7911193']
  [8214] IGA Marché Louise Ménard (Préville) Inc → ['7926564', '7921346', '7921464', '7911193']
  [8217] IGA Marché Louise Ménard → ['7926564', '7921346', '7921464', '7911193']
  [8219] IGA Marché Louise Ménard inc. (Place Du → ['7926562', '7921346', '7921464', '7911193']
  [8222] IGA MARCHÉ MÉLANIE LE TRIANGLE → ['7926576', '7921346', '7921464', '7911193']
  [8223] IGA Marché GouletGrenville → ['7926558', '7921346', '7921464', '7911193']
  [8224] IGA Marché Au Chalet () inc. → ['7926562', '7921346', '7921464', '7911193']
  [8225] IGA Marché Forgues → ['7926562', '7921346', '7921464', '7911193']
  [8226] IGA Supermarché Picard inc. → ['7926576', '7921346', '7921464', '7911193']
  [8228] IGA COOP IGA AMOS-OUEST → ['7926558', '7921346', '7921464', '7911193']
  [8231] Abitibi-Témiscamingue → ['7926558', '7921346', '7921464', '7911193']
  [8233] IGA Sobeys Capital inc. (Gr-Riviere) → ['7926558', '7921346', '7921464', '7911193']
  [8234] IGA Poulin → ['7926562', '7921346', '7921464', '7911193']
  [8236] IGA Coop de Ste-Foy (rue du Campanile) → ['7926562', '7921346', '7921464', '7911193']
  [8238] IGA Marché Ouimette Fille et Fils Inc. → ['7926558', '7921346', '7921464', '7911193']
  [8239] IGA Marché RaymondRivière Rouge → ['7926558', '7921346', '7921464', '7911193']
  [8240] IGA Marche St-Canut inc. → ['7926564', '7921346', '7921464', '7911193']
  [8247] IGA Marché Toppetta → ['7926562', '7921346', '7921464', '7911193']
  [8248] IGA Marché Famille Viau inc. → ['7926564', '7921346', '7921464', '7911193']
  [8250] IGA Marché Arbour-LeBlanc → ['7926558', '7921346', '7921464', '7911193']
  [8253] IGA Atwater → ['7926562', '7921346', '7921464', '7911193']
  [8254] IGA Supermarché IGA Raymond Martin inc. → ['7926564', '7921346', '7921464', '7911193']
  [8255] IGA Coop C. Chandler → ['7926558', '7921346', '7921464', '7911193']
  [8258] IGA Supermarché Clément Louiseville Inc → ['7926562', '7921346', '7921464', '7911193']
  [8259] IGA Extra Magog Gazaille → ['7926564', '7921346', '7921464', '7911193']
  [8262] IGA La Coopérative de Caraquet ltée → ['7926627', '7921657', '7927101', '7911255']
  [8264] IGA S. Albert inc. → ['7926558', '7921346', '7921464', '7911193']
  [8268] IGA - Quebec inc. → ['7926568', '7921346', '7921464', '7911193']
  [8270] IGA Extra des-Rapides → ['7926568', '7921346', '7921464', '7911193']
  [8273] IGA Famille Crégheur (La Pinière) inc. → ['7926564', '7921346', '7921464', '7911193']
  [8274] IGA Beauceville → ['7926558', '7921346', '7921464', '7911193']
  [8275] IGA Supermarché IGA St-Henri → ['7926558', '7921346', '7921464', '7911193']
  [8278] IGA de Boischatel → ['7926564', '7921346', '7921464', '7911193']
  [8283] IGA Marché du Faubourg Greenfield Park → ['7926576', '7921346', '7921464', '7911193']
  [8284] IGA Magasin Coop IGA de Trois-Pistoles → ['7926558', '7921346', '7921464', '7911193']
  [8288] IGA Cooperative des Cons. de Lorette → ['7926562', '7921346', '7921464', '7911193']
  [8293] IGA Marché Famille Gadoua → ['7926564', '7921346', '7921464', '7911193']
  [8295] IGA Marché Girard St-Augustin inc. → ['7926562', '7921346', '7921464', '7911193']
  [8296] IGA Saint-Lin-Laurentides → ['7926562', '7921346', '7921464', '7911193']
  [8299] IGA Quebec Magasin CO-OP St-Anselme → ['7926558', '7921346', '7921464', '7911193']
  [8308] IGA des Sources Henri-Bourassa → ['7926562', '7921346', '7921464', '7911193']
  [8311] IGA  Canada inc. → ['7926562', '7921346', '7921464', '7911193']
  [8312] IGA Marché des Oiseaux inc. → ['7926568', '7921346', '7921464', '7911193']
  [8313] IGA Extra → ['7926572', '7921346', '7921464', '7911193']
  [8314] IGA AlimentationCoop Rimouski → ['7926560', '7921346', '7921464', '7911193']
  [8315] IGA Marché Gagnon → ['7926558', '7921346', '7921464', '7911193']
  [8316] IGA extra Vallée → ['7926564', '7921346', '7921464', '7911193']
  [8317] IGA Extra Alimentation St-Onge → ['7926562', '7921346', '7921464', '7911193']
  [8319] IGA Des Chenaux Famille Paquette → ['7926562', '7921346', '7921464', '7911193']
  [8322] IGA Mont-Laurier → ['7926558', '7921346', '7921464', '7911193']
  [8325] IGA Marché Veilleux inc. → ['7926562', '7921346', '7921464', '7911193']
  [8327] IGA Alimentation Sogesco inc. → ['7926574', '7921346', '7921464', '7911193']
  [8328] IGA - Quebec Inc. → ['7926578', '7921346', '7921464', '7911193']
  [8330] IGA La Cooperative de Buctouche → ['7926627', '7921657', '7927101', '7911255']
  [8331] IGA La Coop cons. de Dieppe ltee → ['7926627', '7921657', '7927101', '7911255']
  [8332] IGA La Cooperative de Shediac Ltee → ['7926627', '7921657', '7927101', '7911255']
  [8333] IGA Coop IGA Tracadie-Sheila → ['7926627', '7921657', '7927101', '7911255']
