=== IGA Flyer Fetch — 2026-06-04 ===
Run started : 2026-06-04 14:15:14 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (5634 publication entries)

Phase 1: fetching publications per store…

  [7971778] Quebec  (2026-06-04T00:00:00-04:00 → 2026-06-10T23:59:59-04:00)
    408 products
  [7964173] Quebec  (2026-06-04T00:00:00-04:00 → 2026-06-10T23:59:59-04:00)
    408 products
  [7964181] Quebec  (2026-06-04T00:00:00-04:00 → 2026-06-10T23:59:59-04:00)
    423 products
  [7971779] Quebec  (2026-06-04T00:00:00-04:00 → 2026-06-10T23:59:59-04:00)
    408 products
  [7972688] Quebec  (2026-06-04T00:00:00-04:00 → 2026-06-10T23:59:59-04:00)
    [!] no products returned — skipping
  [7971774] Quebec  (2026-06-04T00:00:00-04:00 → 2026-06-10T23:59:59-04:00)
    423 products
  [7972680] Quebec  (2026-06-04T00:00:00-04:00 → 2026-06-10T23:59:59-04:00)
    [!] no products returned — skipping
  [7972687] Quebec  (2026-06-04T00:00:00-04:00 → 2026-06-10T23:59:59-04:00)
    [!] no products returned — skipping
  [7965904] Quebec  (2026-06-04T00:00:00-04:00 → 2026-06-10T23:59:59-04:00)
    393 products
  [7972681] Quebec  (2026-06-04T00:00:00-04:00 → 2026-06-10T23:59:59-04:00)
    [!] no products returned — skipping
  [7971776] Quebec  (2026-06-04T00:00:00-04:00 → 2026-06-10T23:59:59-04:00)
    408 products
  [7953630] Iles-de-la-Madeleine  (2026-06-04T00:00:00-04:00 → 2026-06-10T23:59:59-04:00)
    128 products

── Phase 2 results ──────────────────────────────────────────────────
  Downloaded : 16
  Skipped    : 0  (file already existed)
  Errors     : 4

Run completed: 2026-06-04 14:16:17 UTC
Elapsed      : 1m 3s


Done.  Verbose log → logs/iga/2026-06-04_verbose.log
       Summary log → logs/iga/2026-06-04_summary.log

