=== IGA Flyer Fetch — 2026-05-07 ===
Run started : 2026-05-07 13:50:09 UTC

Loaded 271 stores from data/iga/stores.json

Stores loaded: 271
Loaded existing store_flyers.json (2152 publication entries)

Phase 1: fetching publications per store…

  [8204] IGA Supermarché Pépin → ['7915886', '7915723', '7911191']
  [8207] IGA Marché d'alimentation Martin Lamarr → ['7915884', '7915723', '7911191']
  [8209] IGA Alimentation Yvon Haché → ['7915882', '7915723', '7911191']
  [8210] IGA Marché Louise Ménard inc. → ['7915884', '7915723', '7911191']
  [8212] IGA Marché Gazaille → ['7915886', '7915723', '7911191']
  [8213] IGA Marché de L’île-des Sœurs → ['7915884', '7915723', '7911191']
  [8214] IGA Marché Louise Ménard (Préville) Inc → ['7915886', '7915723', '7911191']
  [8217] IGA Marché Louise Ménard → ['7915886', '7915723', '7911191']
  [8219] IGA Marché Louise Ménard inc. (Place Du → ['7915884', '7915723', '7911191']
  [8222] IGA MARCHÉ MÉLANIE LE TRIANGLE → ['7915886', '7915723', '7911191']
  [8223] IGA Marché GouletGrenville → ['7915880', '7915723', '7911191']
  [8224] IGA Marché Au Chalet () inc. → ['7915884', '7915723', '7911191']
  [8225] IGA Marché Forgues → ['7915884', '7915723', '7911191']
  [8226] IGA Supermarché Picard inc. → ['7915886', '7915723', '7911191']
  [8228] IGA COOP IGA AMOS-OUEST → ['7915880', '7915723', '7911191']
  [8231] Abitibi-Témiscamingue → ['7915880', '7915723', '7911191']
  [8233] IGA Sobeys Capital inc. (Gr-Riviere) → ['7915880', '7915723', '7911191']
  [8234] IGA Poulin → ['7915884', '7915723', '7911191']
  [8236] IGA Coop de Ste-Foy (rue du Campanile) → ['7915884', '7915723', '7911191']
  [8238] IGA Marché Ouimette Fille et Fils Inc. → ['7915880', '7915723', '7911191']
  [8239] IGA Marché RaymondRivière Rouge → ['7915880', '7915723', '7911191']
  [8240] IGA Marche St-Canut inc. → ['7915886', '7915723', '7911191']
  [8247] IGA Marché Toppetta → ['7915884', '7915723', '7911191']
  [8248] IGA Marché Famille Viau inc. → ['7915886', '7915723', '7911191']
  [8250] IGA Marché Arbour-LeBlanc → ['7915880', '7915723', '7911191']
  [8253] IGA Atwater → ['7915884', '7915723', '7911191']
  [8254] IGA Supermarché IGA Raymond Martin inc. → ['7915886', '7915723', '7911191']
  [8255] IGA Coop C. Chandler → ['7915880', '7915723', '7911191']
  [8258] IGA Supermarché Clément Louiseville Inc → ['7915884', '7915723', '7911191']
  [8259] IGA Extra Magog Gazaille → ['7915886', '7915723', '7911191']
  [8262] IGA La Coopérative de Caraquet ltée → ['7916153', '7915719', '7911253']
  [8264] IGA S. Albert inc. → ['7915880', '7915723', '7911191']
  [8268] IGA - Quebec inc. → ['7915890', '7915723', '7911191']
  [8270] IGA Extra des-Rapides → ['7915890', '7915723', '7911191']
  [8273] IGA Famille Crégheur (La Pinière) inc. → ['7915886', '7915723', '7911191']
  [8274] IGA Beauceville → ['7915880', '7915723', '7911191']
  [8275] IGA Supermarché IGA St-Henri → ['7915880', '7915723', '7911191']
  [8278] IGA de Boischatel → ['7915886', '7915723', '7911191']
  [8283] IGA Marché du Faubourg Greenfield Park → ['7915886', '7915723', '7911191']
  [8284] IGA Magasin Coop IGA de Trois-Pistoles → ['7915880', '7915723', '7911191']
  [8288] IGA Cooperative des Cons. de Lorette → ['7915884', '7915723', '7911191']
  [8293] IGA Marché Famille Gadoua → ['7915886', '7915723', '7911191']
  [8295] IGA Marché Girard St-Augustin inc. → ['7915884', '7915723', '7911191']
  [8296] IGA Saint-Lin-Laurentides → ['7915884', '7915723', '7911191']
  [8299] IGA Quebec Magasin CO-OP St-Anselme → ['7915880', '7915723', '7911191']
  [8308] IGA des Sources Henri-Bourassa → ['7915884', '7915723', '7911191']
  [8311] IGA  Canada inc. → ['7915884', '7915723', '7911191']
  [8312] IGA Marché des Oiseaux inc. → ['7915890', '7915723', '7911191']
  [8313] IGA Extra → ['7915880', '7915723', '7911191']
  [8314] IGA AlimentationCoop Rimouski → ['7915882', '7915723', '7911191']
  [8315] IGA Marché Gagnon → ['7915880', '7915723', '7911191']
  [8316] IGA extra Vallée → ['7915886', '7915723', '7911191']
  [8317] IGA Extra Alimentation St-Onge → ['7915884', '7915723', '7911191']
  [8319] IGA Des Chenaux Famille Paquette → ['7915884', '7915723', '7911191']
  [8322] IGA Mont-Laurier → ['7915880', '7915723', '7911191']
  [8325] IGA Marché Veilleux inc. → ['7915884', '7915723', '7911191']
  [8327] IGA Alimentation Sogesco inc. → ['7915884', '7915723', '7911191']
  [8328] IGA - Quebec Inc. → ['7915890', '7915723', '7911191']
  [8330] IGA La Cooperative de Buctouche → ['7916153', '7915719', '7911253']
  [8331] IGA La Coop cons. de Dieppe ltee → ['7916153', '7915719', '7911253']
  [8332] IGA La Cooperative de Shediac Ltee → ['7916153', '7915719', '7911253']
  [8333] IGA Coop IGA Tracadie-Sheila → ['7916153', '7915719', '7911253']
  [8335] IGA Marche d'Alimentation Proulx inc. → ['7915884', '7915723', '7911191']
  [8340] IGA Marché IGA Shawinigan-Sud inc. → ['7915880', '7915723', '7911191']
  [8341] IGA Les Marchés Lambert et frères inc. → ['7915886', '7915723', '7911191']
  [8343] IGA Supermarche St-Hubert inc → ['7915880', '7915723', '7911191']
  [8344] IGA Marche Masson-Angers inc. → ['7915884', '7915723', '7911191']
  [8346] IGA Épicerie Quintal et Frères () inc. → ['7915888', '7915723', '7911191']
  [8348] IGA Marché d’alimentation Deziel inc. → ['7915884', '7915723', '7911191']
  [8349] IGA extra Marché Paquette → ['7915884', '7915723', '7911191']
  [8350] IGA Cooperative des Cons. de Sainte-Foy → ['7915884', '7915723', '7911191']
  [8352] IGA Famille Rick Déziel → ['7915884', '7915723', '7911191']
  [8353] IGA Famille Rick Déziel → ['7915886', '7915723', '7911191']
  [8357] IGA Farnham → ['7915884', '7915723', '7911191']
  [8358] IGA Boucherie des Sources Ste-Catherine → ['7915884', '7915723', '7911191']
  [8359] Sobeys Capital inc. (Campbellton) → ['7915880', '7915723', '7911191']
  [8360] IGA → ['7915884', '7915723', '7911191']
  [8363] IGA Alimentation Proulx Terrebonne Inc → ['7915884', '7915723', '7911191']
  [8364] IGA Hochelaga → ['7915884', '7915723', '7911191']
  [8365] IGA Mont-Joli → ['7915880', '7915723', '7911191']
  [8366] IGA Mche d'Alimentation Champagne inc. → ['7915884', '7915723', '7911191']
  [8367] IGA extra L'ile-Bizard Sevigny → ['7915884', '7915723', '7911191']
  [8368] IGA Extra Gladu → ['7915886', '7915723', '7911191']
  [8369] IGA Supermarché Jean XXIII → ['7915884', '7915723', '7911191']
  [8370] IGA Marché Lamontagne et fille → ['7915880', '7915723', '7911191']
  [8371] IGA Chelsea → ['7915884', '7915723', '7911191']
  [8373] IGA Marché Montée Gagnon inc. → ['7915884', '7915723', '7911191']
  [8374] IGA Marché St-Janvier → ['7915884', '7915723', '7911191']
  [8375] IGA Sobeys Capital inc. → ['7915880', '7915723', '7911191']
  [8376] IGA Alimentation  Patrice Tellier inc. → ['7915880', '7915723', '7911191']
  [8377] IGA extra Famille Déziel Vaudreuil-Dorion → ['7915886', '7915723', '7911191']
  [8378] IGA Marche Famille Vincent inc. → ['7915886', '7915723', '7911191']
  [8379] IGA Lac St-Charles → ['7915884', '7915723', '7911191']
  [8380] IGA extra Marché Gagné et Fille → ['7915886', '7915723', '7911191']
  [8383] IGA Alimentation Beaubien et fille inc. → ['7915884', '7915723', '7911191']
  [8388] IGA Ferme Neuve → ['7915880', '7915723', '7911191']
  [8389] IGA Extra Saint-Léonard → ['7915892', '7915723', '7911191']
  [8390] IGA Deux-Montagnes → ['7915884', '7915723', '7911191']
  [8393] IGA Val-d'Or Centre-Ville → ['7915880', '7915723', '7911191']
  [8395] IGA EXTRA POINTE-CLAIRE → ['7915886', '7915723', '7911191']
  [8396] IGA EXTRA Famille Patry Bromont → ['7915884', '7915723', '7911191']
  [8397] IGA Extra → ['7915886', '7915723', '7911191']
  [8464] IGA St-Lambert-de-Lauzon → ['7915886', '7915723', '7911191']
  [8468] IGA extra Rockland → ['7915886', '7915723', '7911191']
  [8476] IGA St-Joseph → ['7915884', '7915723', '7911191']
  [8481] IGA Alimentation Francis Gravel inc. → ['7915880', '7915723', '7911191']
  [8490] IGA Marche Landry -Tardif inc. → ['7915884', '7915723', '7911191']
  [8502] IGA Marché St-Pierre et Fils → ['7915884', '7915723', '7911191']
  [8503] IGA Magasin Co-Op de Plessisville (Prin → ['7915880', '7915723', '7911191']
  [8505] IGA Famille P. Crégheur → ['7915884', '7915723', '7911191']
  [8506] IGA Marché Vincent inc. → ['7915884', '7915723', '7911191']
  [8511] IGA Alimentation Coop Port-Cartier → ['7915880', '7915723', '7911191']
  [8520] IGA Extra des grives → ['7915886', '7915723', '7911191']
  [8522] IGA Van Horne → ['7915884', '7915723', '7911191']
  [8526] IGA extra Marché Gagné → ['7915880', '7915723', '7911191']
  [8527] IGA Supermarché Crevier inc. → ['7915884', '7915723', '7911191']
  [8528] IGA Supermarché Crevier (Lachenaie) inc → ['7915886', '7915723', '7911191']
  [8529] IGA Supermarché Crevier (Valmont) inc. → ['7915884', '7915723', '7911191']
  [8530] IGA Supermarché Crevier inc. → ['7915886', '7915723', '7911191']
  [8531] IGA - Quebec inc. → ['7915880', '7915723', '7911191']
  [8532] IGA Marche Lambert et Freres inc. → ['7915886', '7915723', '7911191']
  [8533] IGA Bourgault et Sanzone inc. → ['7915886', '7915723', '7911191']
  [8536] IGA H. Després Ltée → ['7915880', '7915723', '7911191']
  [8537] IGA Jodoin Douville → ['7915884', '7915723', '7911191']
  [8540] IGA Supermarché Crevier L'Assomption in → ['7915884', '7915723', '7911191']
  [8541] IGA Crevier → ['7915884', '7915723', '7911191']
  [8542] IGA Supermarche Crevier (Lavaltrie) inc → ['7915884', '7915723', '7911191']
  [8543] IGA Alimentation J.P.J Martin inc. → ['7915884', '7915723', '7911191']
  [8544] IGA Supermarché DJS Cousineau inc. → ['7915884', '7915723', '7911191']
  [8546] IGA Supermarché Crevier (Joliette) Inc. → ['7915886', '7915723', '7911191']
  [8547] IGA Marche Duchemin et Freres inc. → ['7915886', '7915723', '7911191']
  [8548] IGA Le Supermarché Le Faubourg → ['7915886', '7915723', '7911191']
  [8550] IGA EXTRA Gatineau → ['7915884', '7915723', '7911191']
  [8553] IGA Marché Bélanger inc. → ['7915882', '7915723', '7911191']
  [8558] IGA familles Rodrigue et Groleau → ['7915880', '7915723', '7911191']
  [8559] IGA Extra Boisbriand (Sobeys inc.) → ['7915884', '7915723', '7911191']
  [8561] IGA Alimentation Sylvain Boyer Inc. → ['7915880', '7915723', '7911191']
  [8568] IGA Extra Famille Pelletier → ['7915880', '7915723', '7911191']
  [8569] IGA extra Chapdelaine → ['7915886', '7915723', '7911191']
  [8572] IGA des Sources Cap-Rouge → ['7915886', '7915723', '7911191']
  [8573] IGA Marché Piché → ['7915884', '7915723', '7911191']
  [8576] IGA Boutin → ['7915880', '7915723', '7911191']
  [8577] IGA Veilleux et Filles inc. → ['7915886', '7915723', '7911191']
  [8578] IGA Coop IGA Amos → ['7915882', '7915723', '7911191']
  [8580] IGA Régnier → ['7915880', '7915723', '7911191']
  [8581] IGA Super Marché Primeau et fils inc. → ['7915886', '7915723', '7911191']
  [8582] IGA Extra Famille Plante → ['7915886', '7915723', '7911191']
  [8586] IGA Supermarché Donat Thériault Ltée → ['7915882', '7911191']
  [8587] IGA Morin-Heights → ['7915884', '7915723', '7911191']
  [8589] IGA Alimentation C.C. Sévigny inc. → ['7915890', '7915723', '7911191']
  [8591] IGA Coteau-du-Lac → ['7915884', '7915723', '7911191']
  [8593] IGA Alimentation E.F.Y. Caron inc. → ['7915884', '7915723', '7911191']
  [8599] IGA Marché Gaouette inc. → ['7915884', '7915723', '7911191']
  [8612] IGA Alimentation C.Verreault → ['7915880', '7915723', '7911191']
  [8615] IGA Alimentation Famille Gaouette inc. → ['7915884', '7915723', '7911191']
  [8629] IGA Marche Famille Julien inc. → ['7915882', '7915723', '7911191']
  [8634] IGA Michaud et fils → ['7915884', '7915723', '7911191']
  [8639] IGA Super Marché Étop Inc. → ['7915884', '7915723', '7911191']
  [8643] IGA → ['7915880', '7915723', '7911191']
  [8644] IGA Supermarché Toppetta inc. → ['7915884', '7915723', '7911191']
  [8653] 9158-9325 Québec Inc. → ['7915880', '7915723', '7911191']
  [8661] IGA EXTRA Les Aliments Famille Dézielinc. → ['7915880']
  [8739] IGA Alimentation Claude Sauro → ['7915884', '7915723', '7911191']
  [8792] IGA COOP #8792 → ['7912021']
  [8793] IGA COOP #8793 → ['7912021']
  [8794] IGA COOP #8794 → ['7912021']

  804 new publication entries across 271 stores
  13 unique new publication(s) to download
  Saved → data/iga/store_flyers.json  (3,765,599 bytes)
New publication entries added to store_flyers.json: 804
Unique new publications to download: 13

Phase 2: fetching products for each new publication…

  [7915880] Quebec  (2026-05-07T00:00:00-04:00 → 2026-05-13T23:59:59-04:00)
    377 products
  Saved → data/iga/flyers/7915880.json  (848,244 bytes)
  [7915723] Themed Brochure  (2026-05-07T00:00:00-04:00 → 2026-05-13T23:59:59-04:00)
    43 products
  Saved → data/iga/flyers/7915723.json  (92,008 bytes)
  [7911191] Themed Brochure  (2026-05-07T00:00:00-04:00 → 2026-05-13T23:59:59-04:00)
    24 products
  Saved → data/iga/flyers/7911191.json  (54,746 bytes)
  [7915884] Quebec  (2026-05-07T00:00:00-04:00 → 2026-05-13T23:59:59-04:00)
    377 products
  Saved → data/iga/flyers/7915884.json  (848,244 bytes)
  [7916153] New Brunswick  (2026-05-07T00:00:00-04:00 → 2026-05-13T23:59:59-04:00)
    332 products
  Saved → data/iga/flyers/7916153.json  (747,993 bytes)
  [7915719] Themed Brochure  (2026-05-07T00:00:00-04:00 → 2026-05-13T23:59:59-04:00)
    43 products
  Saved → data/iga/flyers/7915719.json  (91,751 bytes)
  [7911253] Themed Brochure  (2026-05-07T00:00:00-04:00 → 2026-05-13T23:59:59-04:00)
    22 products
  Saved → data/iga/flyers/7911253.json  (49,528 bytes)
  [7915886] Quebec  (2026-05-07T00:00:00-04:00 → 2026-05-13T23:59:59-04:00)
    397 products
  Saved → data/iga/flyers/7915886.json  (889,764 bytes)
  [7915882] Quebec  (2026-05-07T00:00:00-04:00 → 2026-05-13T23:59:59-04:00)
    397 products
  Saved → data/iga/flyers/7915882.json  (889,764 bytes)
  [7915890] Quebec  (2026-05-07T00:00:00-04:00 → 2026-05-13T23:59:59-04:00)
    400 products
  Saved → data/iga/flyers/7915890.json  (896,700 bytes)
  [7915888] Quebec  (2026-05-07T00:00:00-04:00 → 2026-05-13T23:59:59-04:00)
    380 products
  Saved → data/iga/flyers/7915888.json  (855,181 bytes)
  [7915892] Quebec  (2026-05-07T00:00:00-04:00 → 2026-05-13T23:59:59-04:00)
    397 products
  Saved → data/iga/flyers/7915892.json  (889,764 bytes)
  [7912021] Iles-de-la-Madeleine  (2026-05-07T00:00:00-04:00 → 2026-05-13T23:59:59-04:00)
    144 products
  Saved → data/iga/flyers/7912021.json  (301,304 bytes)

── Phase 2 results ──────────────────────────────────────────────────
  Downloaded : 13
  Skipped    : 0  (file already existed)
  Errors     : 0

Run completed: 2026-05-07 13:50:43 UTC
Elapsed      : 0m 33s


Done.  Verbose log → logs/iga/2026-05-07_verbose.log
       Summary log → logs/iga/2026-05-07_summary.log

