=== Metro Ontario Flyer Fetch — 2026-05-21 ===
Run started : 2026-05-21 14:22:36 UTC

Loaded 133 stores from data/metro/stores.parquet

Stores loaded: 133
Loaded store_flyers.parquet (1535 flyer entries)

Phase 1: fetching flyer listings per store…

  [851] #246 Kanata (Cope Dr.) → ['83407', '205352', '83407M']
  [893] #32 Niagara Falls → ['83407', '205352', '83407M']
  [903] #244 Rideau → ['83407', '205352', '83407M']
  [913] #145 South Barrie → ['83407', '205352', '83407M']

  399 new flyer entries across 133 stores
  3 unique new job(s) to download
  Appended 399 rows to data/metro/store_flyers.parquet
New flyer entries added to store_flyers.parquet : 399
Unique new jobs to download                     : 3

Phase 2: fetching products for each new job…

  [83407] store 2  (https://metrodigital-apim.azure-api.net/api/Pages/83407/2/en/search)
    482 products
  [205352] store 2  (https://metrodigital-apim.azure-api.net/api/Pages/205352/2/en/search)
    150 products
  [83407M] store 2  (https://metrodigital-apim.azure-api.net/api/Pages/83407M/2/en/search)
    5 products

── Phase 2 results ──────────────────────────────────────────────────
  Downloaded : 3
  Skipped    : 0  (file already existed)
  Errors     : 0

Run completed: 2026-05-21 14:23:35 UTC
Elapsed      : 0m 59s


Done.  Verbose log → logs/metro/2026-05-21_verbose.log
       Summary log → logs/metro/2026-05-21_summary.log

