=== Walmart Flyer Fetch — 2026-07-02 ===
Run started : 2026-07-02 13:48:55 UTC

Loaded 421 stores from data/walmart/stores.parquet

Stores loaded: 421
Loaded store_flyers.parquet (6339 publication entries)

Phase 1: fetching publications per store…

  [3129] Hanover → ['8002874', '8009319', '8006069']
  [3130] Brampton North → ['8002874', '8009319', '8006069']
  [3131] Ottawa → ['8002874', '8009319', '8006069']
  [3132] Lachute → ['8002875', '8009320', '8006070']
  [3133] Cobourg → ['8002874', '8009319', '8006069']
  [3134] Kanata → ['8002874', '8009319', '8006069']
  [3135] Brampton East → ['8002874', '8009319', '8006069']
  [3136] Rouyn-Noranda → ['8002875', '8009320', '8006070']
  [3137] Saint-Hyacinthe → ['8002875', '8009320', '8006070']
  [3138] Bayer's Lake → ['8011704', '8009322', '8006071']
  [3139] Val-d'Or → ['8002875', '8009320', '8006070']
  [3140] Saint-Bruno-de-Montarville → ['8002875', '8009320', '8006070']
  [3141] Burlington → ['8002874', '8009319', '8006069']
  [3142] Orangeville → ['8002874', '8009319', '8006069']
  [3143] Hull → ['8002875', '8009320', '8006070']
  [3144] Guelph → ['8002874', '8009319', '8006069']
  [3146] Sainte-Foy → ['8002875', '8009320', '8006070']
  [3147] Grande Prairie → ['8011708', '8009326', '8006073']
  [3148] Lévis → ['8011702', '8009320', '8006070']
  [3149] Mascouche → ['8011702', '8009320', '8006070']
  [3150] Medicine Hat → ['8002881', '8009326', '8006073']
  [3151] Shawnessy → ['8002881', '8009326', '8006073']
  [3152] Cambridge → ['8002874', '8009319', '8006069']
  [3153] Orillia → ['8002874', '8009319', '8006069']
  [3154] Sherwood Park → ['8002881', '8009326', '8006073']
  [3155] Sault Ste Marie → ['8002874', '8009319', '8006069']
  [3156] Waterloo → ['8002874', '8009319', '8006069']
  [3157] Fort McMurray → ['8002881', '8009326', '8006073']
  [3158] Langley → ['8011709', '8009327', '8006074']
  [3159] Cabbagetown → ['8002874', '8009319', '8006069']
  [3160] Niagara Falls → ['8002874', '8009319', '8006069']
  [3161] Oshawa → ['8011701', '8009319', '8006069']
  [3162] Charlottetown → ['8002878', '8009323', '8006071']
  [3163] Courtenay → ['8002882', '8009327', '8006074']
  [3164] Leamington → ['8002874', '8009319', '8006069']
  [3165] Mont Royal → ['8002875', '8009320', '8006070']
  [3166] Barrie → ['8002874', '8009319', '8006069']
  [3167] Chilliwack → ['8002882', '8009327', '8006074']
  [3168] Lloydminster → ['8002881', '8009326', '8006073']
  [3169] Vernon → ['8002882', '8009327', '8006074']
  [3170] Burlington → ['8002874', '8009319', '8006069']
  [3171] Pembroke → ['8002874', '8009319', '8006069']
  [3172] St. Catharines → ['8002874', '8009319', '8006069']
  [3173] Moose Jaw → ['8002881', '8009326', '8006073']
  [3174] Vaughan → ['8002874', '8009319', '8006069']
  [3176] Yorkton → ['8002881', '8009326', '8006073']
  [3177] Winnipeg (SW) → ['8002880', '8009325', '8006073']
  [3178] Trenton → ['8002874', '8009319', '8006069']
  [3179] Regina East Supercentre → ['8002881', '8009326', '8006073']
  [3180] Montreal Marche Central → ['8002875', '8009320', '8006070']
  [3181] Camrose → ['8002881', '8009326', '8006073']
  [3183] Cranbrook → ['8002882', '8009327', '8006074']
  [3184] Truro → ['8002877', '8009322', '8006071']
  [3185] Corner Brook → ['8011706', '8009324', '8006072']
  [3186] Pickering → ['8011701', '8009319', '8006069']
  [3188] Langford → ['8002882', '8009327', '8006074']
  [3189] Laval Ste-Dorothée → ['8002875', '8009320', '8006070']
  [3190] Saint-Jérôme → ['8002875', '8009320', '8006070']
  [3191] Whitehorse → no new flyers
  [3194] Red Deer → ['8002881', '8009326', '8006073']
  [3195] Richmond Hill → ['8002874', '8009319', '8006069']
  [3196] St. John's → ['8011706', '8009324', '8006072']
  [3197] St. Thomas → ['8002874', '8009319', '8006069']
