=== Walmart Flyer Fetch — 2026-09-03 ===
Run started : 2026-09-03 17:11:16 UTC

Loaded 421 stores from data/walmart/stores.parquet

Stores loaded: 421
Loaded store_flyers.parquet (8829 publication entries)

Phase 1: fetching publications per store…

  [3000] Agincourt → ['8113351', '8110328']
  [3001] Ajax → ['8120544', '8110328']
  [3002] Baie-Comeau → ['8113352', '8110329']
  [3003] Bathurst → ['8113353', '8110330']
  [3004] Brandon → ['8113357', '8111145']
  [3005] Brantford → ['8113351', '8110328']
  [3006] Brockville → ['8113351', '8110328']
  [3007] Brossard → ['8113352', '8110329']
  [3008] Burnaby (Lougheed Mall) → ['8113360', '8110333']
  [3009] Calgary → ['8113359', '8110332']
  [3010] Calgary → ['8113359', '8110332']
  [3011] Calgary → ['8120552', '8110332']
  [3012] Calgary → ['8120552', '8110332']
  [3013] Calgary → ['8120552', '8110332']
  [3014] Cap-de-la-Madeleine → ['8113352', '8110329']
  [3015] Carbonear → ['8113356', '8110331']
  [3016] Chatham → ['8113351', '8110328']
  [3017] Chicoutimi → ['8120545', '8110329']
  [3018] Clarenville → ['8120549', '8110331']
  [3019] Abbotsford → ['8113360', '8110333']
  [3020] Cornwall → ['8113351', '8110328']
  [3021] Dartmouth → ['8120547', '8110330']
  [3022] Dauphin → ['8113357', '8111145']
  [3023] Drummondville → ['8120545', '8110329']
  [3024] Dryden Highway → ['8113351', '8110328']
  [3025] Duncan → ['8113360', '8110333']
  [3026] Edmonton (Supercentre) → ['8113359', '8110332']
  [3027] Edmonton West → ['8120552', '8110332']
  [3028] Edmonton → ['8120552', '8110332']
  [3029] Edmonton (S.Common) → ['8113359', '8110332']
  [3030] Estevan Supercentre → ['8113358', '8110332']
  [3031] Etobicoke → ['8113351', '8110328']
  [3032] Fredericton → ['8113353', '8110330']
  [3033] Gander → ['8113356', '8110331']
  [3034] Georgetown → ['8113351', '8110328']
  [3035] Granby → ['8120545', '8110329']
  [3036] Grand Falls (Windsor) → ['8113356', '8110331']
  [3037] Hamilton → ['8113351', '8110328']
  [3038] Hinton → ['8120552', '8110332']
  [3039] Joliette (Supercentre) → ['8113352', '8110329']
  [3040] Kamloops → ['8120553', '8110333']
  [3041] Kapuskasing → ['8113351', '8110328']
  [3042] Kelowna → ['8113360', '8110333']
  [3043] Kingston → ['8113351', '8110328']
  [3044] Kirkland → ['8113352', '8110329']
  [3045] Kitchener → ['8113351', '8110328']
